In 100 Gramm	kcal	 kjoule	 BE	 KH (g)	 F (g)	 EW (g)
Putenstreifen (Truthahnstreifen, Trutenstreifen)	143	600	0	0,5	2,5	28
Quargel (Rotschimmelkäse, Sauermilchkäse)	132	554	0	0,3	0,5	30
Raclette	343	1452	0	0	28	22,7
Rauch-Mandeln (Lorenz)	626	2590	0,5	4	57	24
Rauch-Mandeln (Seeberger)	624	2579	0,3	3.6	57	23
Rauch-Mandeln (Smokehouse Blue Diamonds)	606	2506	0,5	7.7	54,9	20,2
Räucherkäse, 50 % Fett in Trockenmasse	325	1364	0	1	25	21
Rauchfleisch	236	989	0	0	9,5	37,5
Rebhuhn, mit Haut (roh)	233	954	0	0	9,4	33,8
Reblochon de Savoie 45 % Fett in Trockenmasse	299	1257	0	0	21,8	23
Red Snapper (roh)	110	462	0	0	3	20
Rehfleisch, Keule, Rehkeule (roh)	97	410	0	0	1,3	21,4
Rehfleisch, Rücken, Rehrücken (roh)	122	516	0	0	3,6	22,5
Rinder-Hackfleisch und Schweine-Hackfleisch, Hackfleisch gemischt (Mischhackfleisch, Halb und Halb, Gehacktes, Hackepeter, Thüringer Mett, Faschiertes, Haschee, Schabefleisch) (roh)	170	710	0	0	10	20
Rinderschinken	128	537	0,5	3	2,5	22
Rindersteaks mit Kräuterbutter	328	1363	0	1	26,5	21,5
Rindfleisch, Filet (Rinderfilet, Rindsfilet, Filetsteak, Beefsteak, Rinderhüftsteak) (roh)	121	508	0	0	4	21,2
Rindfleisch, Hackfleisch (Rinderhackfleisch, Gehacktes, Hackepeter, Rindermett, Faschiertes, Haschee, Rindergehacktes, Schabefleisch) (roh)	161	673	0	0	9	20
Rindfleisch, Hochrippe (roh)	155	647	0	0	8,1	20,6
Rindfleisch, mager (roh)	107	454	0	0	1,9	22
Rindfleisch, mittelfett (z. B. Ribeye) (roh)	155	547	0	0	8,1	20,6
Rindfleisch, Roastbeef (Beefsteak oder Entrecôte) (roh)	130	546	0	0	4,5	22,4
Rindfleisch, Tartar (roh)	111	467	0	0	2,6	21,8
Rindssalami, Rindersalami	264	1110	0	0,9	19	20
Roggenkeim-Flocken	357	1496	1,7	20,8	11,3	39,7
Romadour, Romadur	288	1209	0	2	20,1	22,1
Roquefortkäse	378	1583	0	0	30,6	21,5
Rosendahler	364	1531	0	1	27	26
Rumpsteaks, gebraten	245	1024	0	0	15,5	26,5
Salami, Salame (Schweinesalami)	340	1430	0	0	27,3	20,6
Salz-Mandeln, Salzmandeln	655	2749	0,5	3,5	58	24
Sardellen-Filets (Anchovis) (roh)	101	427	0	0	2,3	20,1
Sardinen (Konserve) in Öl	222	926	0	0	14	24
Sauermilchkäse	126	536	0	0	0,7	30
Sauermilchkäse	135	564	0	0	0,7	29,8
Scamorza (ital. Brühkäse)	219	922	0,5	5	11	23
Scheibletten, 20 % Fett in Trockenmasse	209	873	0,5	5,5	11	22
Scheibletten, 45 % Fett in Trockenmasse	298	1245	0	0,5	24	20
Schillerlocken (Dornhai)	300	1245	0	0	24	21
Schlackwurst	316	1329	0	0,2	24	22
Schmelzkäse, 45 % Fett in Trockenmasse	296	1228	0	0	24	20
